header_line
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
2/02/2025 0954 PM  PA  Cambria  Johnstown Airport      40.3167  -78.8333  FREEZING_RAIN_24  0.02  Inch  ASOS  24 hour freezing rain
2/02/2025 0954 PM  PA  Clearfield  Clearfield Airport      41.05  -78.4167  FREEZING_RAIN_24  0.001  Inch  ASOS  24 hour freezing rain
2/03/2025 0656 AM  PA  Dauphin  Harrisburg Intl Airport      40.2  -76.7667  FREEZING_RAIN_24  0.001  Inch  ASOS  24 hour freezing rain
2/02/2025 0953 PM  PA  Lancaster  Lancaster Airport      40.1167  -76.3  FREEZING_RAIN_24  0.001  Inch  ASOS  24 hour freezing rain
2/03/2025 0753 AM  PA  McKean  Bradford Airport      41.8  -78.6333  FREEZING_RAIN_24  0.07  Inch  ASOS  24 hour freezing rain
2/02/2025 0525 PM  PA  Somerset  1 NE Friedens      40.0535  -78.9907  FREEZING_RAIN  0.04  Inch  Trained Spotter  Storm total freezing rain
2/03/2025 0656 AM  PA  York  Capitol City Airport      40.2167  -76.85  FREEZING_RAIN_24  0.001  Inch  ASOS  24 hour freezing rain
""
Observations are collected from a variety of sources with varying
equipment and exposures. We thank all volunteer weather observers
for their dedication. Not all data listed are considered official.
""
$$
