FieldOffice,Identifier,HTML_Format
Caribou,CAR,1
Gray-Portland,GYX,1
Boston-Norton,BOX,1
Mount Holly,PHI,1
Albany,ALY,1
Binghamton,BGM,1
Buffalo,BUF,1
New York-Upton,OKX,2
Newport-Morehead City,MHX,1
Raleigh,RAH,1
Wilmington,ILM,1
Cleveland,CLE,1
Wilmington-OH,ILN,1
Pittsburgh,PBZ,1
State College,CTP,1
Charleston,CHS,1
Columbia,CAE,1
Greenville-Spartanburg,GSP,1
Burlington,BTV,1
Baltimore-Washington,LWX,1
Blacksburg-Roanoke,RNK,1
Wakefield,AKQ,1
Charleston-WV,RLX,1
