0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2/07/2025,0845 AM, NY, Broome, Endicott, , , 42.1505, -76.0358, PKGUST, 37, mph, CWOP, Peak Wind Gust,
2/07/2025,0805 AM, NY, Broome, Belden, , , 42.2232, -75.6685, PKGUST, 39, mph, NYSM, Peak Wind Gust,
2/07/2025,0830 AM, NY, Broome, Binghamton, , , 42.0584, -75.951, PKGUST, 39, mph, NYSM, Peak Wind Gust,
2/07/2025,0515 AM, NY, Broome, Lisle, , , 42.3212, -76.0205, PKGUST, 40, mph, CWOP, Peak Wind Gust,
2/07/2025,0501 AM, NY, Broome, Maine, , , 42.1857, -76.02, PKGUST, 40, mph, CWOP, Peak Wind Gust,
2/07/2025,0938 AM, NY, Broome, Binghamton Airport, , , 42.2167, -75.9833, PKGUST, 46, mph, ASOS, Peak Wind Gust,
2/07/2025,0519 AM, NY, Cayuga, Auburn, , , 42.9338, -76.5343, PKGUST, 41, mph, CWOP, Peak Wind Gust,
2/07/2025,0405 AM, NY, Cayuga, Scipio Center, , , 42.7562, -76.534, PKGUST, 43, mph, NYSM, Peak Wind Gust,
2/07/2025,0120 AM, NY, Chemung, Horseheads High School, , , 42.1626, -76.8255, PKGUST, 36, mph, MESOWEST, Peak Wind Gust,
2/07/2025,0340 AM, NY, Chemung, Elmira, , , 42.1133, -76.8366, PKGUST, 40, mph, NYSM, Peak Wind Gust,
2/07/2025,0510 AM, NY, Chemung, Elmira Airport, , , 42.15, -76.9, PKGUST, 46, mph, ASOS, Peak Wind Gust,
2/07/2025,0704 AM, NY, Chenango, Sidney, , , 42.3, -75.4167, PKGUST, 39, mph, AWOS, Peak Wind Gust,
2/07/2025,0620 AM, NY, Chenango, Sherburne, , , 42.6403, -75.4834, PKGUST, 43, mph, NYSM, Peak Wind Gust,
2/07/2025,0605 AM, NY, Cortland, Cincinnatus, , , 42.5224, -75.9756, PKGUST, 38, mph, NYSM, Peak Wind Gust,
2/07/2025,0435 AM, NY, Cortland, Cortland Airport, , , 42.6, -76.2167, PKGUST, 39, mph, AWOS, Peak Wind Gust,
2/07/2025,0525 AM, NY, Delaware, Roxbury, , , 42.2972, -74.5612, PKGUST, 36, mph, CWOP, Peak Wind Gust,
2/07/2025,0615 AM, NY, Delaware, Deposit, , , 42.0686, -75.3922, PKGUST, 38, mph, NYSM, Peak Wind Gust,
