header_line
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
2/07/2025   353 AM  MD  Frederick  Sabillasville  3  SSW  39.65  -77.47  PKGUST  54  mph  AWOS  Peak Wind Gust
2/07/2025   403 AM  MD  Garrett  I-68 At Us 219      39.69  -79.25  PKGUST  46  mph  Mesonet  Peak Wind Gust
2/07/2025   330 AM  WV  Grant  Bear Rocks      39.08  -79.30  PKGUST  51  mph  Mesonet  Peak Wind Gust
2/07/2025   355 AM  WV  Grant  Petersburg  1  W  39.00  -79.15  PKGUST  48  mph  AWOS  Peak Wind Gust
2/07/2025   400 AM  WV  Grant  Cabins      39.00  -79.21  PKGUST  47  mph  Mesonet  Peak Wind Gust
2/07/2025   417 AM  WV  Pendleton  Upper Tract      38.82  -79.28  PKGUST  46  mph  Mesonet  Peak Wind Gust
""
$$
""
BRO
